[SYS] 2026/03/12 - 15:37:48 | One API v0.6.10 started 
[SYS] 2026/03/12 - 15:37:48 | SQL_DSN not set, using SQLite as database 
[SYS] 2026/03/12 - 15:37:48 | database migration started 
[SYS] 2026/03/12 - 15:37:48 | database migrated 
[SYS] 2026/03/12 - 15:37:48 | no user exists, creating a root user for you: username is root, password is 123456 
[SYS] 2026/03/12 - 15:37:48 | REDIS_CONN_STRING not set, Redis is not enabled 
[SYS] 2026/03/12 - 15:37:48 | using theme default 
[SYS] 2026/03/12 - 15:37:48 | initializing token encoders 
[SYS] 2026/03/12 - 15:37:52 | token encoders initialized 
[SYS] 2026/03/12 - 15:37:52 | server started on http://localhost:3001 
[GIN] 2026/03/12 - 15:37:55 | 2026031215375584015600083091628 | 200 |    5.191666ms |             ::1 |     GET /
{"id":"8e971919-2459-4051-89b1-4d696a1056df","object":"chat.completion","created":1773301330,"model":"deepseek-chat","choices":[{"index":0,"message":{"role":"assistant","content":"你好！"},"logprobs":null,"finish_reason":"length"}],"usage":{"prompt_tokens":5,"completion_tokens":2,"total_tokens":7,"prompt_tokens_details":{"cached_tokens":0},"prompt_cache_hit_tokens":0,"prompt_cache_miss_tokens":5},"system_fingerprint":"fp_eaab8d114b_prod0820_fp8_kvcache"} 
[GIN] 2026/03/12 - 15:42:11 | 2026031215421043781200044624996 | 200 |  1.529649208s |             ::1 |     GET /api/channel/test/1?model=deepseek-chat
[GIN] 2026/03/12 - 15:42:25 | 2026031215422522557400047367402 | 200 |     887.208µs |             ::1 |     GET /api/channel/1
[GIN] 2026/03/12 - 15:42:25 | 2026031215422522669200073243925 | 200 |      1.6625ms |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 15:42:25 | 2026031215422522567600053288173 | 200 |    3.739709ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/12 - 15:42:35 | 2026031215423548824500049635835 | 200 |     993.709µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 15:42:35 | 2026031215423548988900081460328 | 200 |    1.035834ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 15:42:43 | 2026031215424315818900028788715 | 200 |    1.356542ms |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 15:42:44 | 2026031215424413175700008225371 | 200 |    2.180875ms |             ::1 |     GET /api/redemption/?p=0
[GIN] 2026/03/12 - 15:42:47 | 2026031215424746101300029283532 | 200 |     870.792µs |             ::1 |     GET /api/user/self
[GIN] 2026/03/12 - 15:43:12 | 2026031215431249122400049245827 | 200 |       2.077ms |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 15:43:12 | 2026031215431288643000044544273 | 200 |         889µs |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773304992&channel=
[GIN] 2026/03/12 - 15:43:13 | 2026031215431397727700093296117 | 200 |     426.791µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 15:43:17 | 202603121543174393700039933609 | 200 |    1.198958ms |             ::1 |     GET /api/user/self
[GIN] 2026/03/12 - 15:43:18 | 2026031215431810918900018886516 | 200 |    2.562167ms |             ::1 |     GET /api/redemption/?p=0
[GIN] 2026/03/12 - 15:43:19 | 2026031215431968723500009393877 | 200 |     724.417µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 15:43:21 | 2026031215432117343600084603102 | 200 |     875.625µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 15:43:21 | 2026031215432117622400007428139 | 200 |    1.249666ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 15:44:14 | 2026031215441441851700062433493 | 200 |    1.120667ms |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 15:44:15 | 2026031215441579216900093874685 | 200 |     894.791µs |             ::1 |     GET /api/user/available_models
[GIN] 2026/03/12 - 15:44:31 | 2026031215443167276200077897791 | 200 |    3.364833ms |             ::1 |    POST /api/token/
[GIN] 2026/03/12 - 15:44:35 | 2026031215443518635500040207539 | 200 |     404.083µs |             ::1 |     GET /api/token/?p=0&order=
[ERR] 2026/03/12 - 15:46:23 | 2026031215462316575400043714317 | 当前分组 default 下对于模型 gpt-4-turbo 无可用渠道 
[GIN] 2026/03/12 - 15:46:23 | 2026031215462316575400043714317 | 503 |    7.841917ms |             ::1 |    POST /v1/chat/completions
[SYS] 2026/03/12 - 15:47:46 | failed to get token encoder for model deepseek-chat: no encoding for model deepseek-chat, using encoder for gpt-3.5-turbo 
[INFO] 2026/03/12 - 15:47:46 | 2026031215474640161600029303005 | user 1 has enough quota 500000000000000, trusted and no need to pre-consume 
[GIN] 2026/03/12 - 15:47:47 | 2026031215474640161600029303005 | 200 |  1.423993042s |             ::1 |    POST /v1/chat/completions
[INFO] 2026/03/12 - 15:47:47 | 2026031215474640161600029303005 | record consume log: userId=1, channelId=1, promptTokens=11, completionTokens=11, modelName=deepseek-chat, tokenName=gateway, quota=3, content=模型倍率 0.07，分组倍率 1.00，补全倍率 2.00 
[GIN] 2026/03/12 - 15:51:15 | 2026031215511538560700025433925 | 200 |    3.053666ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 15:51:15 | 2026031215511538490900099646144 | 200 |    4.125916ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 15:51:18 | 2026031215511810336300055067843 | 200 |     916.167µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 15:51:21 | 2026031215512120630600089231964 | 200 |     480.375µs |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773305481&channel=
[GIN] 2026/03/12 - 15:51:51 | 2026031215515129747600031034277 | 200 |     429.917µs |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773305511&channel=
[GIN] 2026/03/12 - 15:52:05 | 2026031215520520367300037787866 | 200 |     341.584µs |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773305525&channel=
[GIN] 2026/03/12 - 16:06:03 | 2026031216060340499600040954117 | 200 |       9.158ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 16:06:03 | 2026031216060340499900026513230 | 200 |   13.142209ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 16:06:05 | 202603121606051211600045315199 | 200 |     290.042µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 16:06:05 | 202603121606051063500074406462 | 200 |    2.230375ms |             ::1 |     GET /api/channel/models
[INFO] 2026/03/12 - 23:28:20 | 2026031223282037442700012626437 | user 1 has enough quota 499999999999997, trusted and no need to pre-consume 
[GIN] 2026/03/12 - 23:28:21 | 2026031223282037442700012626437 | 200 |  1.555173541s |             ::1 |    POST /v1/chat/completions
[INFO] 2026/03/12 - 23:28:21 | 2026031223282037442700012626437 | record consume log: userId=1, channelId=1, promptTokens=11, completionTokens=11, modelName=deepseek-chat, tokenName=gateway, quota=3, content=模型倍率 0.07，分组倍率 1.00，补全倍率 2.00 
[INFO] 2026/03/12 - 23:28:27 | 2026031223282713352800013396886 | user 1 has enough quota 499999999999994, trusted and no need to pre-consume 
[GIN] 2026/03/12 - 23:28:28 | 2026031223282713352800013396886 | 200 |  1.798163083s |             ::1 |    POST /v1/chat/completions
[INFO] 2026/03/12 - 23:28:28 | 2026031223282713352800013396886 | record consume log: userId=1, channelId=1, promptTokens=27, completionTokens=14, modelName=deepseek-chat, tokenName=gateway, quota=4, content=模型倍率 0.07，分组倍率 1.00，补全倍率 2.00 
[GIN] 2026/03/12 - 23:35:02 | 2026031223350248190400039234653 | 200 |    7.012125ms |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773333302&channel=
[GIN] 2026/03/12 - 23:35:24 | 2026031223352417667000086825421 | 200 |     1.40775ms |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 23:35:25 | 2026031223352537301400087860894 | 200 |     915.083µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:35:25 | 2026031223352537525300011658967 | 200 |    1.379833ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:35:26 | 2026031223352618599600052257331 | 200 |         137µs |             ::1 |     GET /api/home_page_content
[GIN] 2026/03/12 - 23:35:26 | 2026031223352618461900062890565 | 200 |    1.847583ms |             ::1 |     GET /api/notice
[GIN] 2026/03/12 - 23:35:30 | 2026031223353029523600048705570 | 200 |    3.035833ms |             ::1 |     GET /static/js/585.46f10364.chunk.js
[GIN] 2026/03/12 - 23:35:30 | 2026031223353030488400043658745 | 200 |       74.25µs |             ::1 |     GET /api/about
[GIN] 2026/03/12 - 23:35:33 | 2026031223353390563000038666962 | 200 |    2.559917ms |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:35:52 | 202603122335529265700075308120 | 200 |     688.916µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:36:14 | 2026031223361483305200025342364 | 200 |    1.352167ms |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:36:28 | 2026031223362879449700022015278 | 200 |     422.166µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:36:29 | 2026031223362948920900075325747 | 200 |    1.877167ms |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:36:34 | 2026031223363435934800032325435 | 200 |     799.709µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:36:43 | 2026031223364323582300096318944 | 200 |       3.311ms |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:37:01 | 2026031223370194653800009253326 | 200 |    1.520292ms |             ::1 |    POST /api/user/
[GIN] 2026/03/12 - 23:37:10 | 2026031223371031638600026478542 | 200 |     415.792µs |             ::1 |    POST /api/user/
[GIN] 2026/03/12 - 23:37:17 | 202603122337171492900017777808 | 200 |   79.253334ms |             ::1 |    POST /api/user/
[GIN] 2026/03/12 - 23:37:20 | 2026031223372088671500054800069 | 200 |       379.5µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:38:54 | 2026031223385432020100000486697 | 200 |     180.458µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 23:38:54 | 2026031223385432010300095477687 | 200 |    1.611375ms |             ::1 |     GET /api/user/2
[GIN] 2026/03/12 - 23:38:58 | 2026031223385840631400019672650 | 200 |     784.125µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:39:00 | 2026031223390098548800061540632 | 200 |     713.833µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:39:00 | 2026031223390098667100061730317 | 200 |    1.483541ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:39:03 | 2026031223390360567100020119720 | 200 |       561.5µs |             ::1 |     GET /api/channel/1
[GIN] 2026/03/12 - 23:39:03 | 2026031223390360919800015649244 | 200 |     220.042µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 23:39:03 | 2026031223390360769900064094514 | 200 |    2.670958ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/12 - 23:39:05 | 2026031223390530500300042213323 | 200 |     645.208µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:39:06 | 2026031223390660731400005678171 | 200 |    1.198625ms |             ::1 |     GET /api/user/self
[GIN] 2026/03/12 - 23:39:07 | 2026031223390752514500024170300 | 200 |     691.375µs |             ::1 |     GET /api/redemption/?p=0
[GIN] 2026/03/12 - 23:39:08 | 2026031223390886334000043882935 | 200 |     408.459µs |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773333548&channel=
[GIN] 2026/03/12 - 23:39:16 | 2026031223391699850000051423900 | 200 |     217.791µs |             ::1 |     GET /api/about
[GIN] 2026/03/12 - 23:39:20 | 2026031223392048201000072620640 | 200 |     328.959µs |             ::1 |     GET /api/notice
[GIN] 2026/03/12 - 23:39:20 | 2026031223392048464500095184964 | 200 |         954µs |             ::1 |     GET /api/home_page_content
[GIN] 2026/03/12 - 23:39:22 | 2026031223392281540300064838578 | 200 |    2.822917ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:39:22 | 2026031223392281791500090110911 | 200 |     673.375µs |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:39:30 | 2026031223393032802500009565239 | 200 |     697.833µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 23:39:41 | 2026031223394125187100011403211 | 200 |     899.625µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:39:41 | 2026031223394125624500022585931 | 200 |    2.318125ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:39:45 | 2026031223394532421400097766471 | 200 |    1.843792ms |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:39:49 | 2026031223394992150400084939745 | 200 |    1.037333ms |             ::1 |    POST /api/user/manage
[GIN] 2026/03/12 - 23:39:56 | 2026031223395649885500011145292 | 200 |    3.346291ms |             ::1 |    POST /api/user/manage
[GIN] 2026/03/12 - 23:39:59 | 2026031223395950592600039316534 | 200 |    1.820958ms |             ::1 |    POST /api/user/manage
[GIN] 2026/03/12 - 23:40:01 | 2026031223400180523200026095122 | 200 |    2.288084ms |             ::1 |    POST /api/user/manage
[GIN] 2026/03/12 - 23:40:03 | 2026031223400367246000069112652 | 200 |     995.625µs |             ::1 |     GET /api/user/2
[GIN] 2026/03/12 - 23:40:03 | 2026031223400367479200040088309 | 200 |     271.209µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 23:40:13 | 2026031223401362712400017657215 | 200 |     902.042µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:40:15 | 202603122340158619300075870450 | 200 |       1.053ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:40:15 | 202603122340158767800011296160 | 200 |    1.388208ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:40:17 | 2026031223401775751300075307514 | 200 |     314.292µs |             ::1 |     GET /api/redemption/?p=0
[GIN] 2026/03/12 - 23:40:18 | 2026031223401861063100087749346 | 200 |         671µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 23:40:19 | 2026031223401962459600028173927 | 200 |     165.709µs |             ::1 |     GET /api/notice
[GIN] 2026/03/12 - 23:40:19 | 2026031223401962540500073499241 | 200 |      119.25µs |             ::1 |     GET /api/home_page_content
[GIN] 2026/03/12 - 23:40:21 | 2026031223402186447800086858138 | 200 |      1.3475ms |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773333621&channel=
[GIN] 2026/03/12 - 23:40:26 | 2026031223402629253000071968231 | 200 |     824.708µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:40:26 | 2026031223402660263400023163021 | 200 |     931.834µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:40:27 | 2026031223402781189600037244723 | 200 |     839.709µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:40:30 | 2026031223403010486900072694769 | 200 |       902.5µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:40:30 | 2026031223403077804100030691039 | 200 |     815.083µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:40:35 | 2026031223403524996600067242216 | 200 |     784.042µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:40:46 | 2026031223404655462400050679150 | 200 |     820.667µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:40:51 | 2026031223405171939400088649162 | 200 |     728.209µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:41:01 | 2026031223410156921600036793826 | 200 |    1.371375ms |             ::1 |     GET /api/user/2
[GIN] 2026/03/12 - 23:41:01 | 2026031223410157206900030158351 | 200 |     150.292µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 23:41:06 | 2026031223410610002100006141715 | 200 |    1.013542ms |             ::1 |     GET /api/log/?p=0&type=0&username=&token_name=&model_name=&start_timestamp=0&end_timestamp=1773333666&channel=
[GIN] 2026/03/12 - 23:41:08 | 2026031223410867215000039662632 | 200 |    1.654958ms |             ::1 |     GET /api/redemption/?p=0
[GIN] 2026/03/12 - 23:41:09 | 2026031223410947584500024268795 | 200 |     812.917µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 23:41:15 | 2026031223411582530400044136402 | 200 |     523.792µs |             ::1 |     GET /api/token/1
[GIN] 2026/03/12 - 23:41:15 | 2026031223411582635400083817980 | 200 |    1.480834ms |             ::1 |     GET /api/user/available_models
[GIN] 2026/03/12 - 23:41:21 | 2026031223412152942900098805785 | 200 |      466.75µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 23:41:22 | 2026031223412257525400026215443 | 200 |     742.959µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:41:22 | 2026031223412257671800007178121 | 200 |    1.079041ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:41:25 | 2026031223412544320900099501045 | 200 |    1.470625ms |             ::1 |     GET /api/channel/1
[GIN] 2026/03/12 - 23:41:25 | 2026031223412544461100060108106 | 200 |     174.125µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 23:41:25 | 2026031223412544339200095646537 | 200 |     2.38125ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/12 - 23:41:30 | 2026031223413091990100062524876 | 200 |     629.667µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:41:30 | 2026031223413092232300075244488 | 200 |    1.061334ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:41:37 | 2026031223413752226000053075132 | 200 |     183.708µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 23:41:37 | 2026031223413752100600023846024 | 200 |     2.13575ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/12 - 23:42:33 | 2026031223423319947200072181061 | 200 |    1.725875ms |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 23:42:34 | 2026031223423480355800062640032 | 200 |     848.042µs |             ::1 |     GET /api/token/1
[GIN] 2026/03/12 - 23:42:34 | 2026031223423480393900007179421 | 200 |      1.6475ms |             ::1 |     GET /api/user/available_models
[GIN] 2026/03/12 - 23:43:42 | 2026031223434251677400044665070 | 200 |    2.308208ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:43:42 | 2026031223434252038800091656984 | 200 |    1.522875ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:43:46 | 2026031223434685158400098199209 | 200 |      1.1385ms |             ::1 |     GET /api/channel/1
[GIN] 2026/03/12 - 23:43:46 | 2026031223434685247400060307256 | 200 |     362.209µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 23:43:46 | 2026031223434685180400008051346 | 200 |    3.068875ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/12 - 23:44:48 | 2026031223444810575700025970260 | 200 |    1.113916ms |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:44:57 | 2026031223445713246000034192007 | 200 |    1.104542ms |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:45:00 | 2026031223450047390600013220498 | 200 |     723.167µs |             ::1 |     GET /api/user/self
[GIN] 2026/03/12 - 23:45:11 | 2026031223451136743400096307082 | 200 |     888.958µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:45:17 | 202603122345178340700076948087 | 200 |     545.208µs |             ::1 |     GET /api/option/
[GIN] 2026/03/12 - 23:45:30 | 2026031223453039396700027411136 | 200 |       522.5µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:45:37 | 2026031223453718448000034710465 | 200 |    1.145584ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:45:37 | 2026031223453718509000039874333 | 200 |    1.015958ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:45:39 | 2026031223453926694100024448897 | 200 |    2.403084ms |             ::1 |     GET /api/channel/models
[GIN] 2026/03/12 - 23:45:39 | 2026031223453926944000051729322 | 200 |     174.208µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 23:46:53 | 2026031223465336690600036716697 | 200 |    4.678542ms |             ::1 |    POST /api/channel/
[GIN] 2026/03/12 - 23:46:58 | 2026031223465819730000072071250 | 200 |     921.708µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:46:58 | 2026031223465819739400065244742 | 200 |     1.29125ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:47:05 | 2026031223470526799600026086765 | 200 |     840.708µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:47:12 | 2026031223471210696900083717792 | 200 |     702.459µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:47:17 | 2026031223471788238800021708756 | 200 |     149.916µs |             ::1 |     GET /api/group/
[GIN] 2026/03/12 - 23:47:17 | 2026031223471788219600070384582 | 200 |     564.292µs |             ::1 |     GET /api/user/2
[GIN] 2026/03/12 - 23:47:25 | 2026031223472563137100065200305 | 200 |     4.32575ms |             ::1 |     PUT /api/user/
[GIN] 2026/03/12 - 23:47:28 | 2026031223472843698000070825604 | 200 |     799.458µs |             ::1 |     GET /api/user/?p=0&order=
[GIN] 2026/03/12 - 23:47:44 | 202603122347441270900092048522 | 200 |     972.292µs |             ::1 |     GET /api/user/self
[GIN] 2026/03/12 - 23:47:45 | 20260312234745988100031275009 | 200 |    2.045625ms |             ::1 |     GET /api/redemption/?p=0
[GIN] 2026/03/12 - 23:47:46 | 2026031223474658756700019388767 | 200 |     676.625µs |             ::1 |     GET /api/token/?p=0&order=
[GIN] 2026/03/12 - 23:48:41 | 2026031223484143788800016898951 | 200 |    1.751792ms |             ::1 |     GET /api/models
[GIN] 2026/03/12 - 23:48:41 | 2026031223484143597100049822979 | 200 |    4.703292ms |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:48:46 | 2026031223484694684100013260756 | 200 |     141.833µs |             ::1 |     GET /api/notice
[GIN] 2026/03/12 - 23:48:46 | 2026031223484694901000078359215 | 200 |      86.291µs |             ::1 |     GET /api/home_page_content
[GIN] 2026/03/12 - 23:48:50 | 2026031223485061838000013200882 | 200 |     863.792µs |             ::1 |     GET /api/channel/?p=0
[GIN] 2026/03/12 - 23:48:50 | 2026031223485061890000068377792 | 200 |     805.417µs |             ::1 |     GET /api/models
